BOTTLE,20191224JHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#BOTTLE,20140514CCHSIOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,
  316N145_9,       I07C,680,1,5,5,2,19950704,1729,-29.494,54.4975,4872,4005.6,1.0852,34.7138,2,34.7135,2,205.1,2,205.7,2,120.07,2,31.86,2,0,2,2.23,2,-999,9,-999,9,2258.7,2,2364.1,6
  316N145_9,       I07C,680,1,4,4,2,19950704,1729,-29.494,54.4975,4872,4260.7,1.0166,34.7099,2,34.7098,2,207.9,2,208.6,2,121.01,2,31.86,2,0,2,2.22,2,0.015,2,0,2,2258.2,2,-999,5
  316N145_9,       I07C,680,1,3,3,2,19950704,1729,-29.494,54.4975,4872,4516.4,0.9845,34.7073,2,34.708,2,209.8,2,209.9,2,122.15,2,31.81,2,0,2,2.21,2,-999,9,-999,9,2257.1,2,2367.6,2
  316N145_9,       I07C,680,1,2,2,2,19950704,1729,-29.494,54.4975,4872,4772.3,0.975,34.7065,2,34.7061,2,210,2,210.3,2,123.29,2,31.91,2,0,2,2.22,2,0.023,2,0,2,2259.8,2,-999,5
  316N145_9,       I07C,680,1,1,1,2,19950704,1729,-29.494,54.4975,4872,4977.6,0.9734,34.7046,2,34.7049,2,210.8,2,209.6,2,124.44,2,32.05,2,0,2,2.23,2,0.019,2,0,2,2259.1,6,2369.4,2
  316N145_9,       I07C,681,1,36,36,2,19950704,2308,-28.9747,54.4988,4740,3.3,20.2497,35.671,2,35.6711,2,221.9,4,224.6,2,2.64,2,0.05,2,0,2,0.08,2,2.169,2,1.221,2,2014.2,6,2348.5,2
  316N145_9,       I07C,681,1,35,35,2,19950704,2308,-28.9747,54.4988,4740,42.1,20.2141,35.6717,2,35.6705,2,222.7,4,225,2,2.62,2,0.05,2,0,2,0.08,2,-999,9,-999,9,2015.1,2,2337.7,2
  316N145_9,       I07C,681,1,34,34,2,19950704,2308,-28.9747,54.4988,4740,77.4,19.7871,35.6531,2,35.6433,2,225.2,2,221.9,2,2.79,2,0.23,2,0.05,2,0.14,2,2.298,2,1.262,2,-999,9,-999,9
  316N145_9,       I07C,681,1,33,33,2,19950704,2308,-28.9747,54.4988,4740,118,18.0205,35.6372,2,35.6312,2,207.1,3,216.4,2,3.14,2,1.29,2,0.06,2,0.25,2,-999,9,-999,9,2059.2,2,2337.3,2
  316N145_9,       I07C,681,1,32,32,2,19950704,2308,-28.9747,54.4988,4740,157.2,16.5242,35.5858,2,35.5717,2,216.2,2,217.4,2,3.49,2,2.74,2,0.01,2,0.35,2,2.644,2,1.374,2,-999,9,-999,9
  316N145_9,       I07C,681,1,31,31,2,19950704,2308,-28.9747,54.4988,4740,208.8,15.4741,35.5108,2,35.5164,2,219.4,2,219.6,2,3.85,2,4.33,2,0,2,0.43,2,-999,9,-999,9,-999,9,-999,9
  316N145_9,       I07C,681,1,30,30,2,19950704,2308,-28.9747,54.4988,4740,258.3,14.824,35.4635,2,35.4612,2,221.1,2,221.8,2,4.01,2,5.45,2,0,2,0.49,2,2.71,2,1.465,2,-999,9,-999,9
  316N145_9,       I07C,681,1,29,29,2,19950704,2308,-28.9747,54.4988,4740,331.9,13.9796,35.381,2,35.3797,2,224.3,2,226.9,2,4.37,2,6.71,2,0,2,0.57,2,-999,9,-999,9,-999,9,-999,9
  316N145_9,       I07C,681,1,28,28,2,19950704,2308,-28.9747,54.4988,4740,407.2,13.4122,35.3112,2,35.3053,2,225.4,2,230.9,2,4.53,2,7.73,2,0,2,0.62,2,2.846,2,1.489,2,-999,9,-999,9
  316N145_9,       I07C,681,1,27,27,2,19950704,2308,-28.9747,54.4988,4740,507.3,12.6043,35.1715,2,35.1688,2,229.6,2,228,2,4.7,2,9.6,2,0,2,0.73,2,-999,9,-999,9,-999,9,-999,9
  316N145_9,       I07C,681,1,26,26,2,19950704,2308,-28.9747,54.4988,4740,605.6,11.7602,35.0379,2,35.0353,2,229.9,2,226.9,2,5.05,2,11.61,2,0,2,0.86,2,2.48,2,1.275,2,-999,9,-999,9
  316N145_9,       I07C,681,1,25,25,2,19950704,2308,-28.9747,54.4988,4740,701.9,10.7816,34.8947,2,34.8966,2,229.1,2,227.6,2,5.59,2,13.61,2,0,2,0.99,2,-999,9,-999,9,-999,9,-999,9
  316N145_9,       I07C,681,1,24,24,2,19950704,2308,-28.9747,54.4988,4740,802.2,9.7535,34.7584,2,34.7592,2,222.2,2,221.6,2,7.59,2,16.61,2,0,2,1.18,2,1.97,2,1.011,2,-999,9,-999,9
  316N145_9,       I07C,681,1,23,23,2,19950704,2308,-28.9747,54.4988,4740,897.5,8.3651,34.6135,2,34.6165,2,214.1,2,210.7,2,12.34,2,20.83,2,0,2,1.45,2,-999,9,-999,9,-999,9,-999,9
  316N145_9,       I07C,681,1,22,22,2,19950704,2308,-28.9747,54.4988,4740,995.4,6.8432,34.4949,2,34.5212,3,204.6,2,203.6,2,19.48,2,24.4,2,0,2,1.7,2,0.967,2,0.484,2,-999,9,-999,9
  316N145_9,       I07C,681,1,21,21,2,19950704,2308,-28.9747,54.4988,4740,1091.7,5.5717,34.4259,2,34.4265,2,197.8,2,198.4,2,29.37,2,28.34,2,0,2,1.97,2,-999,9,-999,9,-999,9,-999,9
  316N145_9,       I07C,681,1,20,20,2,19950704,2308,-28.9747,54.4988,4740,1188.2,4.6554,34.4131,2,34.4122,2,191.1,2,191.4,2,39.63,2,30.53,2,0,2,2.14,2,0.476,2,0.24,2,-999,9,-999,9
  316N145_9,       I07C,681,1,19,19,2,19950704,2308,-28.9747,54.4988,4740,1334.9,3.8425,34.4577,2,34.5331,4,174.5,2,175.4,2,55.79,2,32.77,2,0,2,2.31,2,-999,9,-999,9,-999,9,-999,9
  316N145_9,       I07C,681,1,18,18,2,19950704,2308,-28.9747,54.4988,4740,1483.8,3.2649,34.5328,2,34.5339,2,169.1,2,168.5,2,68.89,2,33.54,2,0,2,2.37,2,0.073,2,0.034,2,-999,9,-999,9
  316N145_9,       I07C,681,1,17,17,2,19950704,2308,-28.9747,54.4988,4740,1631.7,2.9687,34.5935,2,34.5931,2,168.3,2,166.8,2,77.03,2,33.39,2,0,2,2.34,2,-999,9,-999,9,-999,9,-999,9
  316N145_9,       I07C,681,1,16,16,2,19950704,2308,-28.9747,54.4988,4740,1779.2,2.7018,34.6381,2,34.6388,2,170.6,3,173.5,2,80.91,2,32.66,2,0,2,2.3,2,0.015,2,0,2,-999,9,-999,9
  316N145_9,       I07C,681,1,15,15,2,19950704,2308,-28.9747,54.4988,4740,1976.8,2.4797,34.6923,2,34.694,2,173.9,3,176.3,2,87.61,2,31.84,2,0,2,2.25,2,-999,9,-999,9,-999,9,-999,9
  316N145_9,       I07C,681,1,14,14,2,19950704,2308,-28.9747,54.4988,4740,2174.5,2.3396,34.7254,2,34.7265,2,177.2,3,179.8,2,91.52,2,31.5,2,0,2,2.21,2,0.003,2,0,2,-999,9,-999,9
  316N145_9,       I07C,681,1,13,13,2,19950704,2308,-28.9747,54.4988,4740,2373.8,2.2308,34.742,2,34.742,2,179.2,3,181.1,2,95.63,2,31.36,2,0,2,2.21,2,-999,9,-999,9,-999,9,-999,9
  316N145_9,       I07C,681,1,12,12,2,19950704,2308,-28.9747,54.4988,4740,2573.6,2.1034,34.7453,2,34.7461,2,178.3,2,178.2,2,104.3,2,31.88,2,0,2,2.25,2,0.005,2,0,2,-999,9,-999,9
  316N145_9,       I07C,681,1,11,11,2,19950704,2308,-28.9747,54.4988,4740,2775.5,1.9852,34.7481,2,34.7483,2,179.2,2,179,2,107.7,2,31.88,2,0,2,2.26,2,-999,9,-999,9,-999,9,-999,9
  316N145_9,       I07C,681,1,10,10,2,19950704,2308,-28.9747,54.4988,4740,2982.2,1.8024,34.7395,2,34.7393,2,179.3,3,176.2,2,117.65,2,32.73,2,0,2,2.31,2,-0.004,2,0,2,-999,9,-999,9
  316N145_9,       I07C,681,1,9,9,2,19950704,2308,-28.9747,54.4988,4740,3186.3,1.6388,34.7342,2,34.7336,2,183.6,3,182.2,2,118.77,2,32.63,2,0,2,2.31,2,-999,9,-999,9,-999,9,-999,9
  316N145_9,       I07C,681,1,8,8,2,19950704,2308,-28.9747,54.4988,4740,3392.6,1.4468,34.7251,2,34.7198,3,188.6,3,186.9,2,122.42,2,32.68,2,0,2,2.29,2,-999,9,-999,9,-999,9,-999,9
  316N145_9,       I07C,681,1,7,7,2,19950704,2308,-28.9747,54.4988,4740,3600.3,1.3345,34.7193,2,34.719,2,190.9,3,189.1,2,124.92,2,32.73,2,0,2,2.3,2,-999,9,-999,9,-999,9,-999,9
  316N145_9,       I07C,681,1,6,6,2,19950704,2308,-28.9747,54.4988,4740,3805.9,1.2337,34.7185,2,34.719,2,197.8,3,199.3,2,119.45,2,31.96,2,0,2,2.24,2,0.006,2,0,2,-999,9,-999,9
  316N145_9,       I07C,681,1,5,5,2,19950704,2308,-28.9747,54.4988,4740,4012.8,1.1379,34.7157,2,34.7159,2,203.8,3,205.2,2,118.45,2,31.66,2,0,2,2.21,2,-999,9,-999,9,-999,9,-999,9
  316N145_9,       I07C,681,1,4,4,2,19950704,2308,-28.9747,54.4988,4740,4218.8,1.0611,34.7093,2,34.71,2,202.6,2,202.4,2,124.81,2,32,2,0,2,2.26,2,0.004,2,0,2,-999,9,-999,9
  316N145_9,       I07C,681,1,3,3,2,19950704,2308,-28.9747,54.4988,4740,4427.2,1.0099,34.7087,2,34.709,2,206.9,2,207.9,2,122.25,2,31.85,2,0,2,2.22,2,-999,9,-999,9,-999,9,-999,9
  316N145_9,       I07C,681,1,2,2,2,19950704,2308,-28.9747,54.4988,4740,4631.7,0.9743,34.7063,2,34.7072,2,208.7,2,209.7,2,122.8,2,31.89,2,0,2,2.23,2,0.01,2,0,2,-999,9,-999,9
  316N145_9,       I07C,681,1,1,1,2,19950704,2308,-28.9747,54.4988,4740,4832.3,0.962,34.7051,2,34.7054,2,209.8,2,209.9,2,123.93,2,31.84,2,0,2,2.23,2,0.013,2,0,2,-999,9,-999,9
  316N145_9,       I07C,682,1,36,36,2,19950705,348,-28.6643,54.4992,4904,3.4,20.4416,35.665,2,35.6657,2,208,4,224,2,2.65,2,0,2,0,2,0.09,2,-999,9,-999,9,2010.8,2,2340.4,2
  316N145_9,       I07C,682,1,35,35,2,19950705,348,-28.6643,54.4992,4904,56.2,20.4509,35.6653,2,35.6653,2,214.2,4,224.2,2,2.64,2,0,2,0,2,0.08,2,-999,9,-999,9,2012.3,6,2347.9,2
  316N145_9,       I07C,682,1,34,34,2,19950705,348,-28.6643,54.4992,4904,105.9,19.0626,35.6367,2,35.6343,2,210.4,4,223.8,2,2.62,2,0.11,2,0.08,2,0.15,2,-999,9,-999,9,2040.4,2,2341.9,2
  316N145_9,       I07C,682,1,33,33,2,19950705,348,-28.6643,54.4992,4904,157.5,17.0864,35.6057,2,35.6036,2,213.9,2,214.6,2,3.34,2,2.16,2,0.01,2,0.31,2,-999,9,-999,9,2066.8,2,2347.5,2
  316N145_9,       I07C,682,1,32,32,2,19950705,348,-28.6643,54.4992,4904,206.5,15.3194,35.5036,2,35.4995,2,218.1,2,220,2,4.07,2,4.86,2,0.01,2,0.47,2,-999,9,-999,9,2080.6,2,2329.3,2
  316N145_9,       I07C,682,1,31,31,2,19950705,348,-28.6643,54.4992,4904,256.2,14.484,35.4398,2,35.4385,2,223.6,2,229,2,4.24,2,5.65,2,0.01,2,0.5,2,-999,9,-999,9,2083.6,2,2339.9,2
  316N145_9,       I07C,682,1,30,30,2,19950705,348,-28.6643,54.4992,4904,356.4,13.8713,35.3949,2,35.3952,2,239.1,2,239.6,2,4.41,2,5.97,2,0.01,2,0.52,2,-999,9,-999,9,2082.9,2,2329.6,2
  316N145_9,       I07C,682,1,29,29,2,19950705,348,-28.6643,54.4992,4904,457.3,13.6752,35.3808,2,35.3802,2,244.9,2,242.7,2,4.39,2,6.25,2,0.01,2,0.53,2,-999,9,-999,9,2082.6,2,2329.5,2
  316N145_9,       I07C,682,1,28,28,2,19950705,348,-28.6643,54.4992,4904,607.5,12.2348,35.1131,2,35.1093,2,229.4,2,228.4,2,5.11,2,10.48,2,0,2,0.8,2,-999,9,-999,9,2100.3,2,2315.1,2
  316N145_9,       I07C,682,1,27,27,2,19950705,348,-28.6643,54.4992,4904,757.3,10.6321,34.8663,2,34.8774,2,224.9,2,224.5,2,6.39,2,14.25,2,0,2,1.04,2,-999,9,-999,9,2113.8,2,2302,2
  316N145_9,       I07C,682,1,26,26,2,19950705,348,-28.6643,54.4992,4904,886.1,8.9853,34.6766,2,34.6785,2,213.9,2,214.4,2,10.25,2,19.05,2,0,2,1.35,2,-999,9,-999,9,2131.9,2,2321.5,3
