BOTTLE,20191227JHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#BOTTLE,20020919WHPSIOSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,,,,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,
      06MT18_1,  A01E,560,1,21,    B35,2,19910905,1855,59.93,-41.8533,1823,96.8,6.6352,35.024,2,35.037,2,281.1,2,6.35,2,14.84,4,0.05,4,1.02,4,4.056,2,1.932,2,2131.5,2,-999,9
      06MT18_1,  A01E,560,1,20,    B37,2,19910905,1855,59.93,-41.8533,1823,196,5.9319,35.0495,2,35.05,2,281,2,8.2,2,16.5,4,0,4,1.16,4,3.928,2,1.877,2,2141.3,2,-999,9
      06MT18_1,  A01E,560,1,19,    B36,2,19910905,1855,59.93,-41.8533,1823,297,5.5223,35.027,2,35.028,2,283.4,2,8.5,2,16.99,4,0,4,1.21,4,-999,9,-999,9,2144.5,2,-999,9
      06MT18_1,  A01E,560,1,18,    B34,2,19910905,1855,59.93,-41.8533,1823,396.6,5.2475,35.0122,2,35.013,2,285.5,2,8.89,2,17.09,4,0,4,1.22,4,3.904,2,1.858,2,2143.9,2,-999,9
      06MT18_1,  A01E,560,1,17,     K4,2,19910905,1855,59.93,-41.8533,1823,493.4,4.9138,34.9859,2,34.987,2,287,2,9.18,2,16.99,4,0,4,1.22,4,-999,9,-999,9,2148.6,2,-999,9
      06MT18_1,  A01E,560,1,16,    B39,2,19910905,1855,59.93,-41.8533,1823,590.6,4.6221,34.9654,2,34.965,2,288,2,9.37,2,17.09,4,0,4,1.24,4,3.767,2,1.797,2,2143.6,2,-999,9
      06MT18_1,  A01E,560,1,15,    K15,2,19910905,1855,59.93,-41.8533,1823,691.5,4.2444,34.9375,2,34.939,2,290.3,3,9.47,2,17.28,4,0,4,1.25,4,-999,9,-999,9,2144.7,2,-999,9
      06MT18_1,  A01E,560,1,14,     K7,2,19910905,1855,59.93,-41.8533,1823,803,4.1225,34.932,2,34.931,2,288.7,2,9.57,2,17.38,4,0,4,1.26,4,3.571,2,1.7,2,2144.8,2,-999,9
      06MT18_1,  A01E,560,1,13,    B42,2,19910905,1855,59.93,-41.8533,1823,902,4.0076,34.9222,2,34.923,2,289.1,2,9.67,2,17.28,4,0.01,4,1.24,4,-999,9,-999,9,2146.7,2,-999,9
      06MT18_1,  A01E,560,1,12,    B44,2,19910905,1855,59.93,-41.8533,1823,997,3.8857,34.9138,2,34.915,2,289.2,2,9.77,2,17.28,4,0,4,1.25,4,3.384,2,1.612,2,2149.4,2,-999,9
      06MT18_1,  A01E,560,1,11,    B46,2,19910905,1855,59.93,-41.8533,1823,1100.1,3.6839,34.9039,2,34.902,2,289.3,2,10.06,2,17.38,4,0,4,1.25,4,-999,9,-999,9,2146.1,2,-999,9
      06MT18_1,  A01E,560,1,10,    B45,2,19910905,1855,59.93,-41.8533,1823,1198.3,3.6069,34.8987,2,34.898,2,289.2,2,10.06,2,17.28,4,0,4,1.27,4,-999,9,-999,9,2146,2,-999,9
      06MT18_1,  A01E,560,1,9,    B52,2,19910905,1855,59.93,-41.8533,1823,1296.5,3.525,34.8954,2,34.895,2,289.6,2,10.25,2,17.28,4,0,4,1.26,4,3.026,2,1.435,2,2145,2,-999,9
      06MT18_1,  A01E,560,1,8,    B40,2,19910905,1855,59.93,-41.8533,1823,1394.6,3.3012,34.8972,2,34.895,2,288.9,2,10.45,2,17.09,4,0,4,1.25,4,-999,9,-999,9,2148.2,2,-999,9
      06MT18_1,  A01E,560,1,7,    B48,2,19910905,1855,59.93,-41.8533,1823,1492.6,3.1783,34.8982,2,34.897,2,288.1,2,10.64,2,16.89,4,0,4,1.23,4,2.609,2,1.241,2,2147.7,2,-999,9
      06MT18_1,  A01E,560,1,6,    B49,2,19910905,1855,59.93,-41.8533,1823,1591.9,3.1043,34.8996,2,34.9,2,288,2,10.64,2,16.8,4,0,4,1.24,4,-999,9,-999,9,2146.4,2,-999,9
      06MT18_1,  A01E,560,1,5,    B51,2,19910905,1855,59.93,-41.8533,1823,1641.6,3.0314,34.902,2,34.9,2,287.7,2,10.64,2,16.7,4,0,4,1.23,4,-999,9,-999,9,2149.9,2,-999,9
      06MT18_1,  A01E,560,1,4,    K30,2,19910905,1855,59.93,-41.8533,1823,1692.9,2.9075,34.9013,2,34.9,2,288.1,2,10.55,2,16.41,4,0,4,1.22,4,2.447,2,1.156,2,2149.5,2,-999,9
      06MT18_1,  A01E,560,1,3,    B47,2,19910905,1855,59.93,-41.8533,1823,1744.3,2.6996,34.8969,2,34.897,2,290.1,2,10.35,2,16.11,4,0,4,1.21,4,2.521,2,1.194,2,2147,2,-999,9
      06MT18_1,  A01E,560,1,1,    B50,2,19910905,1855,59.93,-41.8533,1823,1804.5,2.5747,34.895,2,34.893,2,291.4,2,10.25,2,16.02,4,0,4,1.19,4,2.603,2,1.235,2,2147.4,2,-999,9
      06MT18_1,  A01E,561,1,23,    K22,2,19910905,2242,59.895,-41.51,1898,59.6,7.2127,34.9932,2,35,2,284.8,2,4.59,2,10.75,4,0.21,2,0.78,2,-999,9,-999,9,2113.2,2,-999,9
      06MT18_1,  A01E,561,1,22,     K3,2,19910905,2242,59.895,-41.51,1898,99.7,6.4764,35.0439,2,35.045,2,281.1,2,6.94,2,14.16,4,0.03,2,0.98,2,-999,9,-999,9,2133.2,2,-999,9
      06MT18_1,  A01E,561,1,20,    B37,2,19910905,2242,59.895,-41.51,1898,235.6,5.4194,35.0207,2,35.021,2,283.5,2,8.69,2,16.02,4,0.01,2,1.09,2,-999,9,-999,9,2142.1,2,-999,9
      06MT18_1,  A01E,561,1,21,    B35,2,19910905,2242,59.895,-41.51,1898,236.2,5.4174,35.0214,2,35.021,2,283.5,2,8.69,2,15.92,4,0,2,1.1,2,-999,9,-999,9,2142.6,2,-999,9
      06MT18_1,  A01E,561,1,18,    B34,2,19910905,2242,59.895,-41.51,1898,388.2,4.713,34.9704,2,34.969,2,287.6,2,9.18,2,16.02,4,0.01,2,1.12,2,-999,9,-999,9,2143.5,2,-999,9
      06MT18_1,  A01E,561,1,16,    B39,2,19910905,2242,59.895,-41.51,1898,687.6,4.0526,34.9254,2,34.927,2,288.2,2,9.67,2,16.41,4,0.01,2,1.12,2,-999,9,-999,9,2146.3,2,-999,9
      06MT18_1,  A01E,561,1,15,    K15,2,19910905,2242,59.895,-41.51,1898,789.2,3.8128,34.9133,2,34.912,2,288.2,2,9.77,2,16.41,4,0,2,1.12,2,-999,9,-999,9,2147.1,2,-999,9
      06MT18_1,  A01E,561,1,14,     K7,2,19910905,2242,59.895,-41.51,1898,890,3.6209,34.8967,2,34.898,2,290.1,2,9.87,2,16.61,4,0,2,1.13,2,3.307,2,1.567,2,2147.2,2,-999,9
